Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Burundi,BDI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,53.5552101135254,..,..,..,..,..,..,..,..,..,73.3300628662109,..,..,..,..,..,..,..,61.7387886047363,..,..,..,..,..,79.5596084594727,..,..,88.2217712402344,..,..,..
Cabo Verde,CPV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,88.1679000854492,..,..,..,..,..,..,..,..,..,95.870002746582,..,..,..,..,..,..,..,..,..,..,..,98.1289672851563,..,..,98.1113128662109,..,..,..,..,..
Cambodia,KHM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,76.3182067871094,..,..,..,..,..,83.3828582763672,..,..,..,87.4713821411133,87.1239318847656,..,..,..,..,90.1418685913086,92.2123565673828,..,..,..,..,..
Cameroon,CMR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,83.0982894897461,..,..,..,..,..,..,83.1355667114258,..,..,80.5744400024414,..,..,..,..,..,..,..,85.0800018310547,..,..
Canada,CAN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,92.4138107299805,92.4556274414063,92.6902313232422,92.9260406494141,93.1741409301758,93.6131134033203,93.8938674926758,94.1116333007813,94.3625869750977,94.5965118408203,94.7977676391602,94.969596862793,95.1563034057617,95.205680847168,95.6647109985352,95.781120300293,95.9066696166992,95.9585113525391,96.0677337646484,96.0912017822266,96.5285491943359,96.6560592651367,96.6203765869141,..,..,..,..,..
Cayman Islands,CYM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.9068222045898,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,60.8070487976074,..,..,..,..,..,..,..,..,..,36.3562698364258,..,..,..,..,..,..,..,38.2686500549316,..,..
Central Europe and the Baltics,CEB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,99.4512100219727,99.4465179443359,99.4421310424805,99.4370193481445,99.4326095581055,99.4285507202148,99.4260406494141,99.4200897216797,99.4180603027344,99.2005996704102,99.1806335449219,99.1672592163086,99.1547775268555,99.1313323974609,99.1094131469727,99.0911178588867,99.0752182006836,99.0644302368164,99.0724411010742,99.3637084960938,99.3832778930664,99.4017181396484,99.4195709228516,99.4389801025391,99.4587631225586,99.4761199951172,99.4960021972656,..,..,..,..
Chad,TCD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,17.3473796844482,..,..,..,..,..,..,37.5573501586914,..,..,..,41.6731185913086,..,..,..,..,..,..,..,..,..,..,38.7724189758301,30.7916107177734,..,..,..,..
Channel Islands,CHI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,98.4279708862305,..,..,..,..,..,..,..,..,..,98.9909820556641,..,..,..,..,..,99.1535797119141,98.8723831176758,..,99.4081878662109,..,99.0482788085938,..,99.3539428710938,..,99.008659362793,..,..,..
China,CHN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,94.2814712524414,..,..,..,..,..,..,..,..,..,98.8587265014648,..,..,..,..,..,..,..,..,..,99.6422882080078,..,..,..,..,..,..,..,99.7835998535156,..,..
Colombia,COL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,95.4846496582031,..,..,96.995002746582,..,..,..,..,..,..,..,97.9913101196289,97.9583969116211,97.883171081543,97.9686279296875,97.9892730712891,97.9374313354492,98.0984191894531,98.2393798828125,..,..,98.5409469604492,98.5347290039063,98.6683120727539,..,98.8516464233398,98.8267593383789,99.0118179321289
Comoros,COM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,80.1857604980469,..,..,..,..,..,..,..,..,..,..,..,71.5812683105469,..,..,..,..,..,78.270393371582,..,..
"Congo, Dem. Rep.",COD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,70.416259765625,..,..,..,..,..,65.7765274047852,..,..,..,..,83.5975494384766,..,..,..,84.9895095825195,..,..,..,..
